Field Name,Short Description,Likely Source,CM System Extract Requirement,Case Management System,Field Requirement,HCFA Box #,Additional Note,Program,State,Phase or Revenue Cycle,Frequency of Data Transfer,Primary Need
Outreach and engagement tracking,"DHCS requires a specific ""Outreach Tracker File"" for members not yet enrolled.",Service Notes,No,,Always,N/A,"This is likely a “modularized” entry that captures several fields: 
Outreach Date: (MM/DD/YYYY).
Outreach Attempt Type:
• Values: In-Person, Telephonic, Electronic (Text/Email), Mail, Community Settings.
Outreach Outcome:
• Values: Successful (Member reached), Unsuccessful (Voicemail/No Answer), Declined.
Total Minutes of Outreach: Duration of the attempt.
Staff ID: The NPI or ID of the staff member attempting outreach (this can be done via User_assignment tag).",,,Middle,Period Dependent,MCP reporting
Population of Focus indicator,Members must be tagged to one or more of DHCS-defined populations to justify eligibility.,Intake,No,,Always,N/A,"This can be a boolean selection across one of the multiple POF’s defined by DHCS (e.g. “Individuals experiencing homelessness” or “Severe Mental Illness / Substance Use Disorder”

The system will need to be able to track this historically (e.g. if a patient / client switches POFs, a historical record must be preserved for audit purposes).",,,Front,Period Dependent,MCP reporting
Assigned ECM Provider name,The name of the “Lead Care Manager” for each patient / client enrolled in ECM,Admin Panel,No,,Always,N/A,"An admin (Manager of ECM services) needs to designate which lead care manager each ECM patient is enrolled with, this is a required field for MCP reporting.",,,Front,Period Dependent,MCP reporting
ECM Discontinuance Reason Code,Explanation for why a patient / client is no longer receiving ECM services,Service Notes,No,,Always,N/A,"These must conform to DHCS standard reason codes and are required for reporting to MCPs on a discontinuation of services to a patient / client (e.g., ""Member declined,"" ""Unable to contact,"" ""Met goals"").",,,Middle,By Patient,MCP reporting
"Race and Ethnicity ",Standardized race / ethnicity code,Intake,No,,Always,N/A,Standardized codes for tracking / reporting / service delivery,,,Front,By Patient,Service Delivery
Housing Assistance Plan,The plan for navigating a patient from their current homeless status into either interim or permanent housing,Service Notes,No,,Alwayss,N/A,"A structured plan developed at / near intake depending on the program the patient / client is enrolled in. The Housing Assistance Plan will include multiple fields and should ensure compliance with the minimum standards outlined by DHCS and the payer (these standards are loosely defined though there are some required fields). The Housing Assistance Plan is required for the Prior Authorization process, and is also a foundational tool for multiple CS service delivery models.

Similar to the care plan, the Housing Assistance Plan will also need to capture certain administrative data for MCP reporting:

Initial Assessment Date: Date the comprehensive assessment was completed.
Completion Date: Date the individualized care plan was signed/finalized.
Update Date: Date of the most recent revision.
Case Manager Information:
• Name.
• Contact Phone/Email.",,,Middle,By Patient,Service Delivery
Care Plan,The plan for managing the patient / client’s needs specific to their program enrollment,Service Notes,No,,Alwayss,N/A,"A structured plan developed at / near intake depending on the program the patient / client is enrolled in. The care plan will include multiple fields and should ensure compliance with the minimum standards outlined by DHCS and the payer. The Care Plan is required for the Prior Authorization process, and is also a foundational tool for ECM and many CS service delivery models. 

Beyond the service content, this care plan will also need to capture certain administrative dates required for MCP reporting:

Initial Assessment Date: Date the comprehensive assessment was completed.
Care Plan Completion Date: Date the individualized care plan was signed/finalized.
Care Plan Update Date: Date of the most recent revision.
Lead Care Manager (LCM) Information:
• LCM Name.
• LCM Contact Phone/Email.
• LCM NPI (if clinical).",,,Middle,By Patient,Service Delivery
Auth Required?,Does the CPT Code require authorization?,"Contract Details, RCM Module",No,,Alwayss,N/A,"This is not a required field in a claim, but is essential for general revenue cycle management. Identifying when a service requires a prior authorization is essential and should trigger a parallel prior authorization workflow by, ideally, a single individual inside the organization that will complete two steps: submit the prior authorization request through the payer portal (this is a manual process, unfortunately), and log the prior authorization request details into the prior authorization module inside of DSS’s RCM tool). Once that Prior Auth is then approved, a PA Number and the effective dates for the PA can be updated in the PA module, and the claiming tool will begin to process those claims accordingly (e.g. the submission tool will have held back claims for any service that do not have an active PA).",,,Back,By Encounter,Billing
Payer Code,Code used to identify a payer for claims submission interface.,"Admin Panel, RCM Module",No,,Alwayss,N/A,"The national payer code used to route claims to the correct payer (e.g. HealthNet claims are submitted to Centene’s NPI unless you are in WA, etc…)",,,Back,One-Time,Billing
Patient's Sex,M or F,Intake,Yes,CCS,Alwayss,3.1,"This can be coded any number of ways in the case management system, but back-end logic will need to transform all inputted values into either binary sex of: M or F","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,"Billing, Service Delivery"
Rsvd for NUCC Use,Formerly used for balance due,RCM Module,No,,Other: Not used currently but reserved for future use or custom use.,30,"Not applicable, this has been deprecated (thanks God).",,CA,Back,By Encounter,Billing
Prior Authorization Number,Authorization or referral number,RCM Module,No,,Alwayss,23,"A PA number is essential for certain claims submission, and attaching a PA number and ensuring that claims are only submitted during active dates for PA is something that a billing module in concert with a PA tracking module can manage.",,CA,Back,Period Dependent,Billing
Resubmission Code & Original Ref #,When resubmitting a corrected claim,RCM Module,No,,Dependent: Based on claim resubmission status: use code “7” (replacement) or “8” (void).,22,This is a field that can be placed by a back-end billing module or solution through the post-submission adjudication process.,,CA,Back,By Encounter,Billing
Outside Lab?,Check if an external lab performed the test,,No,,Other: If services billed were done by an outside lab.,20,Not required,,CA,Back,By Encounter,Billing
Additional Claim Info,"Notes to payer, drug info, investigational use, etc.",,No,,Other: Payer-specific; used frequently for Medicare or compounding drugs.,19,Not required,,CA,Back,By Encounter,Billing
Hospitalization Dates,Admission and discharge dates,"Intake, Service Notes",No,,Other: Required if services relate to inpatient stay.,18,"This is not a required field for ECM, CS or CHW billing, though is a helpful piece of data to capture and may be required at a future data for Post Hospitalization Medical Respite Care. At this point we would recommend capturing this date",,CA,Middle,By Encounter,"Billing, Service Delivery"
Referring Provider NPI,National Provider Identifier of referring provider,"Admin Panel, Case Management System",No,,Dependent: Required if Box 17 is completed.,17b,"Linked to the “referring provider name” this is not a required field for ECM, CS, or CHW billing at present, but is likely an important field to capture for analytics or performance tracking purposes.",,CA,Back,By Encounter,Billing
Qualifier & ID (non-NPI),Legacy ID if required by payer,"Admin Panel, Case Management System",No,,Other: Rare; mostly phased out.,17a,"Not necessary, this is a deprecated field by nearly all payers",,CA,Back,One-Time,Billing
Referring Provider Name,Required when a referral or order is involved,"Admin Panel, Case Management System",No,,"Dependent: primarily for labs, imaging, therapy, specialist visits.",17,"This is likely unnecessary for claiming purposes, though would represent a leading practice for care coordination and could be useful for analytics purposes (e.g. tracking referral sources) or operational compliance (e.g. “closed loop referral” completions).",,CA,Back,By Encounter,"Billing, Service Delivery"
Dates Unable to Work,If patient was unable to work due to condition,"Intake, Service Notes",No,,Dependent: For disability claims or work-related injuries.,16,"This is a dependent field that is required for disability claims or worker’s comp claims, though it could be collected at either intake or in clinical notes depending on when an injury occurs. It may be best practice to include this as a “gated” value that is available only if a previous field related to a disability has been activated.",,CA,Back,Period Dependent,"Billing, Service Delivery"
Other Date,"Additional relevant dates (e.g., same/similar illness)",Case Management System,No,,Other: Based on payer rules or specific CPT/ICD usage.,15,"Box 15 captures a secondary date related to the patient's condition or treatment history AND an explanation of what that date is. The explanation, on a claim form is a three-digit code which corresponds to a common set of reasons that can be pre-populated in a drop-down menu (e.g. “Initial Treatment”, “Accident date”, “Last X-Ray”)",,CA,Back,By Encounter,"Billing, Service Delivery"
Is Condition Related To...,"Indicates whether services were due to employment, auto accident, or other accident",Intake,No,,Dependent: Required for workers’ comp or accident-related claims.,10a–c,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes. It is also required for any worker’s compensation claims or any accident-related claims.",,CA,Front,By Encounter,"Billing, Service Delivery"
Insurance Plan Name or Program,Full name of secondary plan,Intake,No,,Dependent: If Box 9 is completed.,9d,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,,CA,Front,Period Dependent,Billing
Employer/School Name of Other Insured,If secondary insurance is through employer/school,Intake,No,,Dependent: If Box 9 is completed.,9c,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes",,CA,Front,By Patient,Billing
Other Insured’s DOB & Sex,Date of birth and sex of secondary insured,Intake,No,,Dependent: If Box 9 is completed.,9b,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,,CA,Front,By Patient,Billing
Other Insured’s Policy/Group Number,Policy number of secondary insurance,Intake,No,,Dependent: If Box 9 is completed.,9a,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,,CA,Front,By Patient,Billing
Other Insured’s Name,Name of additional policyholder,Intake,No,,Dependent: If the patient has secondary insurance.,9,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Enhanced Care Management,CA,Front,By Patient,Billing
Patient Status,Marital status and employment/school status,Intake,No,,Other: Some payers may require for coordination of benefits.,8,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,"Billing, Service Delivery"
" Service Provided",Consistent code that can be translated/customized by payer,Service Notes,Yes,CCS,Alwayss,CPT Code Alternate,"We have seen drop-down menus for services (e.g. “clinical team consultation” or “individual patient session”) work well. There can be multiple menus attached to the “Program” that the patient or client is enrolled in (e.g. ECM, or Housing Transition and Navigation Services). These values can then be matched against billing codes, modifiers, and rates on the back end for claims submission.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Middle,By Encounter,"Billing, Service Delivery"
Billing Provider NPI,National Provider Identifier.,"Admin Panel, RCM Module",No,,Alwayss,33a,This will be the information for whomever your billing provider is (e.g. if it is the Co-Lab it would be our NPI and service address),,,Back,One-Time,Billing
Billing Provider Info,"Name, address, phone number.","Admin Panel, RCM Module",No,,Alwayss,33,This will be the information for whomever your billing provider is (e.g. if it is the Co-Lab it would be our NPI and service address),,,Back,One-Time,Billing
Date(s) of Service,Start date MM/DD/YYYY,Service Notes,Yes,CCS,Alwayss,24A,"We will need to affix a data of service to any qualifying “encounter” whether its a phone call to patient / client, a consultation with another clinician, etc… These individual service dates may not be required for billing purposes now, but may be needed at a future date, and are necessary for audit purposes (for example, CCAH is now requiring evidence of at least two patient encounters / billing month for housing transition and navigation services).","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Middle,By Encounter,"Billing, Service Delivery"
Patient’s Account Number," Unique CCS system identifier for matching clinical and billing data",Case Management System,No,CCS,Alwayss,26," Unique CCS system identifier for matching clinical and billing data","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Amount Paid,If any prior payments received.,RCM Module,No,,Alwayss,29,"This would be applicable to any claims that have been “partially paid” and the claim is being resubmitted for either the remainder of the balance or some additional fees attached to the same encounter. This is a function that should be managed by a billing module, or RCM solution.",,CA,Back,By Encounter,Billing
Service Facility Location,Address where service was delivered,"Admin Panel, Case Management System",No,CCS,Alwayss,32,This would be the address for each corresponding POS code,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Back,One-Time,Billing
Diagnosis Codes,ICD-10 codes (up to 12); use letters (A-L) to link to services.,"Intake, SDOH Screener",No,CCS,Alwayss,21,"For ECM and CS services, this needs to ultimately be submitted as as “Z-Code” which is based on a social determinant of health as opposed to a traditional clinical health diagnosis. Z-Codes Z-55-65 cover the acceptable Dx codes for ECM and CS service delivery (e.g. Z59.00 = homeless, unspecified, Z59.01 = Sheltered Homeless). An SDOH or HRSN screener will be the best source of these diagnosis codes. This Dx data is needed for both claiming, and also in certain cases (e.g. some ECM patients without a referral and all CS services) for prior authorization submission.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Encounter,"Billing, Service Delivery"
Federal Tax ID,EIN or SSN of billing entity.,Admin Panel,No,,Alwayss,25,"This is the EIN / SSN of the provider facility (in this case, DOH as they hold the contract)",,CA,Back,One-Time,Billing
Signature of Provider,Indication that signature is on file (Y / N),Admin Panel,No,CCS,Alwayss,31,This can likely be collected at the start / end of a providers employment period and kept in an Admin panel,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Back,One-Time,Billing
NPI of Service Facility,Required if different from billing.,"Admin Panel, RCM Module",No,,Alwayss,32a,This will be the service facility that DSS primarily uses and will be populated on each claim as the NPI will be different from DOH.,,,Back,One-Time,Billing
Insured's Signature,Indication that signature is on file (Y / N),Intake,No,CCS,Alwayss,13,"Required if the patient / client is not the insured individual (this likely will not be the case for Medi-Cal patients as eligibility is individually determined, but should still be an accessible field.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,Period Dependent,Billing
Diagnosis Pointer,"Letter(s) from Box 21 (e.g., A, B).",RCM Module,No,,Alwayss,24E,The Dx pointer is where the claim indicates which procedure (HCPCS/CPT does) is associated with which diagnosis. Pointers are only required for service claims that have multiple diagnosis. Pointer logic should be handled by a billing module or RCM solution based on programmed logic.,,CA,Back,By Encounter,Billing
Date of Current Illness/Injury,Required for certain CPTs or ICDs.,"Intake, Service Notes",No,,Alwayss,14,"Depending on workflow considerations, this could be captured at the front end or in the middle in service notes. A best practice would be to capture it at patient / client registration, so that a prior authorization could be filed immediately for applicable services (e.g. ECM or CS patients without active prior auth)",,CA,Front,By Encounter,"Billing, Service Delivery"
Procedure Code,CPT/HCPCS code + any required modifiers.,"Contract Details, RCM Module",No,,Alwayss,24D,Qualifying CPT / HCPCS codes and modifiers should be attached to claims based on the details included in the signed provider agreement. Codes will be attached to individual claims files based on the patient / clients active Prior Authorization status and service notes.,,CA,Back,By Encounter,Billing
Total Charge,Sum of all charges from Box 24F.,RCM Module,No,,Alwayss,28,This is a back-end billing module or RCM solution that calculates the charges across multiple procedures (if the claim includes multiple HCPCS / CPT codes) and affixes the total into the correct claim field (box 28),,CA,Back,By Encounter,Billing
Accept Assignment?,Check YES to receive payment from insurer.,Admin Panel,No,,Alwayss,27,"This will likely always be a “Yes” and is the provider (in this case DOH), telling the payer that they will accept the payers allowed rates, or those outlined in the contract.",,CA,Back,One-Time,Billing
Place of Service Code,2-digit location code,Service Notes,No,CCS,Alwayss,24B,"There are likely only two options for this code (e.g. 04 = Homeless Shelter, 27 = Outreach site / street). It is essential that we collect this correctly though, so an option of location should be included for each service note (this also has implications on remote v in person which is specifically captured in another field)","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Middle,By Encounter,Billing
Units,Unit calculations may vary by service (see notes),Service Notes,No,CCS,Alwayss,24G,"CHW is billed based on a count of 30 minute work unit blocks, Housing Navigation and Tenancy Support is based on a count of any qualifying encounter, tracking ECM “minutes” also represents a leading practice and would be our recommended approach.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Middle,By Encounter,"Billing, Service Delivery"
Charges,Fee for each service line.,"Contract Details, RCM Module",No,,Alwayss,24F,Valid CPT codes will be cross-walked with contractually identified rates and claims will be submitted with valid fees attached. This is a function managed by a billing module or RCM solution.,,CA,Back,By Encounter,Billing
Patient's Signature,Indication that signature is on file (Y / N),Intake,Yes,CCS,Alwayss,12,This is a Yes / No answer that will be collected at intake and will need to be re-authorized annually.,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,Period Dependent,Billing
Other Insured’s Name,If patient has other coverage.,Intake,No,,Alwayss,9,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Insured’s Policy Group or FECA #,Group/policy number of primary insurance.,Case Management System,Yes,,Alwayss,11,"There are no group policy numbers for Medi-Cal, though this field should likely still exist for future flexibility.",,CA,Front,Period Dependent,Billing
Insured’s Address,Only required if different from patient.,Case Management System,No,,Alwayss,7,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Employer/School Name,If applicable.,Intake,No,,Alwayss,11b,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes. It is also required for any worker’s compensation claims or any accident-related claims.",,CA,Front,By Patient,Billing
Insurance Plan Name or Program,Full name of the plan.,Intake,No,CCS,Alwayss,11c,"Similar to other patient / client demographics, validating this information at intake through an eligibility check with the payers database would be a leading practice and a recommended approach.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,Period Dependent,Billing
Insured’s DOB & Sex,If different from patient.,Intake,No,,Alwayss,11a,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,,CA,Front,By Patient,Billing
Patient’s Address,"Street, city, state, ZIP.",Intake,Yes,CCS,Alwayss,5,Any known address. Need alternate for housing agencies,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Insured's Name,If different from patient.,Intake,No,,Alwayss,4,Medi-Cal eligibility is based on the individual so this likely won’t apply to your patients / clients though we may want to include this as a field in intake forms.,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Patient Relationship to Insured,"Self, Spouse, Child, Other.",Intake,No,,Alwayss,6,"Will always be “self” for Medi-Cal, though we may want to discuss scenarios in which having additional options could be beneficial.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,Billing
Insured’s ID Number,"Payer-assigned ID (e.g., Medicare HICN or MBI, Medicaid ID).",Intake,Yes,CCS,Alwayss,1a,"This is a vital piece of information and with the correct integration, this can be instantly checked against an eligibility database to confirm, which would be our suggested approach","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,Period Dependent,"Billing, Service Delivery"
Insurance Type,"Type of health insurance (e.g., Medicare, Medicaid, Other).",Admin Panel,No,,Alwayss,1,"This will likely only be Medicaid, though having an option for Medicare would likely be wise, though the default value should be “Medicaid (e.g. Medi-Cal or another state Medicaid plan). This field can also be automatically populated based on the results of an eligibility check.","CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,Period Dependent,Billing
Patient's DOB,Format MM/DD/YYYY,Intake,Yes,CCS,Alwayss,3,Checking this at the point of registration against the payer’s eligibility database would represent a best practice and would be our recommendation,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,"Billing, Service Delivery"
Patient's Name,"Last name, first name, middle initial.",Intake,Yes,CCS,Alwayss,2,Checking this at the point of registration against the payer’s eligibility database would represent a best practice and would be our recommendation,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Front,By Patient,"Billing, Service Delivery"